id,incident_number,campus_id,final_campus,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket
79,26MAtemp0002,17,Mont Alto,02/14/2026 06:01 AM,02/14/2026 05:26 AM,02/14/2026 05:29 AM,Student reported theft of their unattended personal property,MONT ALTO HALL,2026-02-18 21:43:32,2026-02-14,2026,2,February,6,Saturday,True,Morning
160,26MAtemp0001,17,Mont Alto,02/11/2026 12:05 PM,02/09/2026 07:40 PM,02/10/2026 12:30 AM,Assisted an employee with an administrative matter,MULTI-PURPOSE BUILDING,2026-02-18 21:43:32,2026-02-11,2026,2,February,12,Wednesday,False,Afternoon
1253,26MA00001,17,Mont Alto,01/02/2026 03:58 PM,01/02/2026 03:58 PM,01/02/2026 04:01 PM,Employee reported theft of services,MONT ALTO HALL LOT 1 - MONT ALTO,2026-02-18 21:43:32,2026-01-02,2026,1,January,15,Friday,False,Afternoon
1322,25MA00034,17,Mont Alto,12/27/2025 06:54 AM,12/27/2025 06:53 AM,12/27/2025 07:20 AM,Employee reported a one vehicle crash with no injuries,CAMPUS DR & ORCHARD RD,2026-02-18 21:43:32,2025-12-27,2025,12,December,6,Saturday,True,Morning
1498,26MA00003,17,Mont Alto,02/14/2026 06:01 AM,02/14/2026 05:26 AM,02/14/2026 05:29 AM,Student reported the theft of their unattended personal property,MONT ALTO HALL,2026-02-21 20:58:08,2026-02-14,2026,2,February,6,Saturday,True,Morning
1510,26MA00002,17,Mont Alto,02/11/2026 12:05 PM,02/09/2026 07:40 PM,02/10/2026 12:35 AM,Employee requested assistance with an administrative matter,MULTI-PURPOSE ACTIVITIES CENTER,2026-02-21 20:58:08,2026-02-11,2026,2,February,12,Wednesday,False,Afternoon
