time_bucket,day_type,nature_short,count
Morning,Weekend,Employee reported a one vehicle crash with no injuries,1
Morning,Weekend,Student reported the theft of their unattended personal,1
Morning,Weekend,Student reported theft of their unattended personal pro,1
Afternoon,Weekday,Assisted an employee with an administrative matter,1
Afternoon,Weekday,Employee reported theft of services,1
Afternoon,Weekday,Employee requested assistance with an administrative ma,1
