id,incident_number,campus_id,final_campus,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket
848,26BK00011,4,Beaver,01/20/2026 01:07 PM,01/20/2026 12:15 PM,01/20/2026 02:16 PM,Visitor reported a parking concern,FACULTY STAFF VISITOR LOT B1 - BERKS,2026-02-18 21:43:32,2026-01-20,2026,1,January,13,Tuesday,False,Afternoon
851,26BK00010,4,Beaver,01/20/2026 10:46 AM,01/20/2026 10:46 AM,01/20/2026 12:11 PM,Visitor reported a concern for a student,COMMUTER LOT G1 - BERKS,2026-02-18 21:43:32,2026-01-20,2026,1,January,10,Tuesday,False,Morning
903,26BK00008,4,Beaver,01/18/2026 12:11 AM,01/18/2026 12:11 AM,01/18/2026 12:00 AM,Student reported a fire alarm activation,LAUREL HALL,2026-02-18 21:43:32,2026-01-18,2026,1,January,0,Sunday,True,Late Night
904,26BK00009,4,Beaver,01/18/2026 12:11 AM,01/18/2026 12:11 AM,01/18/2026 12:45 AM,Student found in possession of alcoholic beverages being less than 21 years of age,LAUREL HALL,2026-02-18 21:43:32,2026-01-18,2026,1,January,0,Sunday,True,Late Night
995,26BK00006,4,Beaver,01/15/2026 01:17 PM,01/15/2026 01:17 PM,01/15/2026 01:30 PM,Employee reported a fire alarm activation,IVY HALL,2026-02-18 21:43:32,2026-01-15,2026,1,January,13,Thursday,False,Afternoon
1010,26BK00007,4,Beaver,01/15/2026 07:30 AM,01/15/2026 07:30 AM,,Employee reported a suspicious item,BEAVER ATHLETICS AND WELLNESS CENTER,2026-02-18 21:43:32,2026-01-15,2026,1,January,7,Thursday,False,Morning
1083,26BK00005,4,Beaver,01/12/2026 08:46 PM,01/12/2026 08:46 PM,01/12/2026 09:05 PM,Employee reported a fire alarm activation,LAUREL HALL,2026-02-18 21:43:32,2026-01-12,2026,1,January,20,Monday,False,Evening
1122,26BK00004,4,Beaver,01/11/2026 01:28 PM,01/11/2026 01:28 PM,01/11/2026 01:56 PM,Student reported a two vehicle crash with no injuries,CLARY DR,2026-02-18 21:43:32,2026-01-11,2026,1,January,13,Sunday,True,Afternoon
1125,26BK00003,4,Beaver,01/11/2026 12:08 PM,01/11/2026 12:08 PM,01/11/2026 12:15 PM,Employee reported a fire alarm activation,THE BOWMAN RESIDENCE CENTER,2026-02-18 21:43:32,2026-01-11,2026,1,January,12,Sunday,True,Afternoon
1160,26BK00002,4,Beaver,01/08/2026 06:25 PM,01/08/2026 06:25 PM,01/08/2026 06:57 PM,Assisted the ambulance with a medical emergency,IVY HALL,2026-02-18 21:43:32,2026-01-08,2026,1,January,18,Thursday,False,Evening
