id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,final_campus
28,26SHtemp0001,20,02/16/2026 09:45 AM,02/16/2026 09:45 AM,02/17/2026 01:00 PM,Employee requested assistance with an adminstrative matter,Sharon Hall,2026-02-18 21:43:32,Shenango
1486,26SH00001,20,02/16/2026 09:45 AM,02/16/2026 09:45 AM,,Employee requested assistance with an administrative matter,SHARON HALL,2026-02-21 20:58:08,Shenango
1526,26SH00002,20,02/23/2026 09:24 AM,02/23/2026 09:15 AM,,Employee requested assistance with an administrative matter,BLACK AND BASHORE BUILDING SIDEWALK AREA,2026-02-25 02:54:48,Shenango
