location,count
Hershey - Dispatched To: HMC - Main Hospital - 1 - Rotunda Cafe > HMC - Main Hospital - 1 - Rotunda Cafe,2
Hershey - Dispatched To: HMC - Main Hospital - 3 > HMC - Main Hospital - 3,2
Hershey - Reported Location: HMC - Children's Hospital,2
Hershey - Dispatched To: HMC - 1 - Trauma Surgical Main Southeast      > HMC - 1 - Trauma Surgical Main Southeast,2
Hershey - Dispatched To: COM - College of Medicine > COM - College of Medicine,2
HOLUBA HALL,2
Hershey - Dispatched To: HMC - UPC-2 - 1 - Dialysis > HMC - UPC-2 - 1 - Dialysis,2
PA-93 & WOODBINE ST,2
Hershey - Dispatched To: COM - College of Medicine - 1 > COM - College of Medicine - 1,2
MULTI-PURPOSE BUILDING,2
Hershey - Dispatched To: HMC - Children's Hospital - 5 > HMC - Children's Hospital - 5,2
SHULZE HALL,2
FALCON HALL,2
CONOY HOUSE,2
DINING HALL,2
ELLIOTT HALL,2
COMMUTER JORDAN EAST 1 LOT,2
MCALLISTER BLDG,2
Hershey - Dispatched To: HMC - Children's Hospital - 4 - PICU > HMC - Children's Hospital - 4 - PICU,2
MIFFLIN HALL,2
N BURROWES RD,2
Hershey - Dispatched To: HMC - Main Hospital - 3 - HVI\HVOC > HMC - Main Hospital - 3 - HVI\HVOC,2
PERKINS STUDENT CENTER,2
RESEARCH DR,2
STUDENT ENRICHMENT CENTER,2
Hershey - Dispatched To: HMC - 15 Hope Drive - HOSC > HMC - 15 Hope Drive - HOSC,2
HOLMES HALL,2
KOSTOS BUILDING,2
ON CAMPUS PROPERTY,2
COMMUTER JORDAN EAST 2 LOT,2
RIDER LOT - ALTOONA,2
E PARK AVE & HOSPITAL DR,2
Hershey - Dispatched To: HPD - Emergency Department > HPD - Emergency Department,2
SLEP STUDENT CENTER,2
E HIGH ST,2
PA-61,2
HAMMOND BLDG,2
GRUBB HALL,2
Hershey - Reported Location: HMC Off-Site - PSMG - Cocoa Outpatient Center - PSMG,2
IVY LOT - GIV - ALTOONA,2
PEGULA ICE ARENA,2
Hershey - Dispatched To: HMC - Emergency Department - 1 - Peds ER > HMC - Emergency Department - 1 - Peds ER,2
Hershey - Dispatched To: HMC - Main Hospital - 7 - PSCI > HMC - Main Hospital - 7 - PSCI,2
NITTANY APARTMENTS V,2
Hershey - Dispatched To: HMC - Centerview Drive Roadway > HMC - Centerview Drive Roadway,2
STEPHENS HALL,2
LOT 83 (B) LOT,2
FOOTBALL LOT,2
Hershey - Dispatched To: HMC - South Parking Garage > HMC - South Parking Garage,2
TIFFANY LOT - ERIE,2
YOUNG HALL,2
INNOVATION BLVD,2
LIONS GATE NORTH PARKING LOT - ABINGTON,2
OSMOND LAB,2
Hershey - Dispatched To: HMC - 30 Hope Drive - 1 - Radiology East > HMC - 30 Hope Drive - 1 - Radiology East,2
PENN BLDG,2
ALMY LOT - ERIE,2
MAPLE LOT - GMA - ALTOONA,2
PORCUPINE HALL,2
SPRING ST,2
STUDENT PARKING LOT - SCHUYLKILL,2
ALMY HALL,2
HAWTHORN BLDG,2
RESIDENCE HALL NORTH,2
CURTIN HALL,2
COMMUTER LOT G1 - BERKS,2
PORTER HALL,2
OHIO HALL,2
STUDENT UNION AND DINING,2
DEIKE BLDG,2
REC HALL,2
Hershey - Dispatched To: HMC - Parking Lot - Lot UPC > HMC - Parking Lot - Lot UPC,2
Hershey - Dispatched To: HMC - Main Hospital - 2 - Main PACU > HMC - Main Hospital - 2 - Main PACU,2
SHUNK HALL,2
Hershey - Reported Location: HMC - Emergency Department,2
Hershey - Dispatched To: HMC - Children's Hospital - 1 > HMC - Children's Hospital - 1,2
SMITH CHAPEL & CARILLON,2
SUSQUEHANNA BUILDING,2
PATERNO LIBRARY,2
JEFFERSON ST,2
Hershey - Reported Location: HMC - Children's Hospital - 3 - Children's Hospital Acute Care,2
JUNIATA GAP RD,2
N ATHERTON ST (CLAY LN - RAILROAD AVE),2
TIGRESS HALL,2
CURTIN RD & PORTER RD,2
IKENBERRY HALL,2
OLD MAIN,2
Hershey - Dispatched To: HMC - Main Hospital - 1 - Gift Shop > HMC - Main Hospital - 1 - Gift Shop,2
Hershey - Dispatched To: HMC Off-Site - PSMG - Mechanicsburg - PSMG > HMC Off-Site - PSMG - Mechanicsburg - PSMG,2
Hershey - Dispatched To: HMC - Main Hospital - 1 - Heart & Vascular Critical Care Unit East (HVCCU) > HMC - Main Hospital - 1 - Heart & Vascular Critical Care Unit East (HVCCU),2
Hershey - Dispatched To: HMC - Main Hospital - 3 - Heart & Vascular Progressive Care - East (HVPCU) > HMC - Main Hospital - 3 - Heart & Vascular Progressive Care - East (HVPCU),2
Hershey - Dispatched To: HMC - Children's Hospital - 7 - Women's Health Post \Antepartum > HMC - Children's Hospital - 7 - Women's Health Post \Antepartum,2
Hershey - Dispatched To: HMC - Children's Hospital - 3 - Children's Hospital Acute Care > HMC - Children's Hospital - 3 - Children's Hospital Acute Care,2
Hershey - Dispatched To: HMC - Main Hospital - 3 - Heart & Vascular Progressive Care - West (HVPCU) > HMC - Main Hospital - 3 - Heart & Vascular Progressive Care - West (HVPCU),2
EISENHOWER PARKING DECK,1
GUION S BLUFORD BLDG,1
Slep Student Center,1
NORTH HALL,1
University Dr,1
HINTZ FAMILY ALUMNI CENTER,1
GREENBERG INDOOR SPORTS,1
Slep Lot,1
MARTIN ST,1
POLICE SERVICES BLDG,1
Poplar Building,1
STEAM DR,1
527 W COUNTY RD,1
REED UNION BUILDING,1
WEST HALLS RESIDENCE COMPLEX,1
PEPPERWOOD HALL,1
REED LOT,1
Sharon Hall,1
N ATHERTON ST & WOODLAND DR,1
PENNSYLVANIA AVE,1
HASTINGS RD & UNIVERSITY DR,1
PARK AVE & STADIUM WEST RD,1
E CALDER WAY & HETZEL ST,1
Hershey - Dispatched To: HMC Off-Site - PSMG - Elizabethtown - PSMG > HMC Off-Site - PSMG - Elizabethtown - PSMG,1
SPARKS BLDG,1
RIDER BLDG,1
PHYSICAL PLANT BLDG,1
UNKNOWN ON CAMPUS PROPERTY,1
PORT SKY,1
6585 MCKINLEY ST,1
Hershey - Reported Location: HMC - Emergency Department - 1 - Emergency Department,1
MCKEAN RD & BIGLER RD,1
Hershey - Dispatched To: HMC - UPC-2 - 2 - Medicine Suite > HMC - UPC-2 - 2 - Medicine Suite,1
Hershey - Dispatched To: COM - Basic Science - 7 > COM - Basic Science - 7,1
MINUTEMAN LN,1
FACULTY STAFF VISITOR LOT B1- BERKS,1
SHORTLIDGE RD & EISENHOWER RD,1
WESTGATE BLDG,1
RED A (BUS DEPOT) LOT,1
AG SCIENCE AND INDUSTRIES,1
YELLOW R AG ADMIN LOT,1
Hershey - Dispatched To: HMC - Children's Hospital - 7 - Labor and Delivery  > HMC - Children's Hospital - 7 - Labor and Delivery,1
POPLAR HALL,1
HESHEYPARK DR,1
GREENWICH ST,1
"Hershey - Reported Location: HMC Off-Site - PSCMG - Mechanicsburg - 335 Lambs Gap Rd, Mechanicsburg PA 17050 - PSCMG",1
Hershey - Reported Location: HMC - Parking Lot - Lot M2,1
MAIN BUILDING LOT - BRANDYWINE,1
LOWER OLMSTED WEST LOT - HARRISBURG,1
CAMPUS DR & N MIDDLETOWN RD,1
Hershey - Dispatched To: HMC - Main Hospital - 1 > HMC - Main Hospital - 1,1
ROBERTS AVE & WELDON AVE,1
FOX HOLLOW RD & E PARK AVE,1
NITTANY APARTMENTS III,1
PALLADINO HALL,1
Hershey - Dispatched To: HMC - Main Hospital - 1 - HVICCU > HMC - Main Hospital - 1 - HVICCU,1
PAPERMILL RD,1
HALLER HALL,1
LUBERT BLDG,1
BIGLER RD & EISENHOWER RD,1
SHORTLIDGE RD & POLLOCK RD,1
CEDAR LOT - PCE - ALTOONA,1
W MAIN ST & N CATHERINE ST,1
Hershey - Dispatched To: HMC - Emergency Department - 1 - ED Obs Unit > HMC - Emergency Department - 1 - ED Obs Unit,1
Hershey - Dispatched To: HMC and COM - Central Plant > HMC and COM - Central Plant,1
E PLEASANT VALLEY BLVD & GRANT ST,1
E MAIN ST,1
GRANDVIEW RD,1
POWER PLANT,1
FACULTY STAFF VISITOR LOT B2 - BERKS,1
BROADWAY & E PENN AVE,1
ORANGE A KATZ LOT,1
HOSPITAL DR,1
HETZEL ST,1
Hershey - Dispatched To: HMC - Children's Hospital - 4 > HMC - Children's Hospital - 4,1
BUTLER BLDG,1
CHACE HALL,1
Hershey - Dispatched To: HMC - Main Hospital - 2 > HMC - Main Hospital - 2,1
"Hershey - Dispatched To: HMC Off-Site - PSMG - Camp Hill, Specialties - PSMG > HMC Off-Site - PSMG - Camp Hill, Specialties - PSMG",1
STUDENT PARKING LOT - LEHIGH VALLEY,1
COLLEGE PL & E DUBOIS AVE,1
Hershey - Reported Location: HMC - Children's Hospital - 7 - Women's Health Post/Antepartum,1
ROSSMAN PARK,1
RIDGE VIEW DR,1
Hershey - Dispatched To: HMC - Parking Lot - Lot J > HMC - Parking Lot - Lot J,1
1ST ST & OLMSTEAD DR,1
STUDENT STUDY - LEARNING CENTER,1
VAIRO PARKING LOT - BRANDYWINE,1
KIRKBRIDE DR,1
AMBER HALL,1
Hershey - Dispatched To: HMC - Emergency Department - 1 - Emergency Department > HMC - Emergency Department - 1 - Emergency Department,1
PA-12 & US-422,1
MAPLE HALL LOT,1
Hershey - Dispatched To: HMC - Parking Lot - Lot G > HMC - Parking Lot - Lot G,1
MUELLER LAB,1
GREAT VALLEY GRADUATE CENTER,1
WARTIK LAB,1
N 7TH AVE,1
KAZMAIER FAMILY BLDG,1
Hershey - Dispatched To: HMC - Parking Lot - Lot H > HMC - Parking Lot - Lot H,1
Hershey - Dispatched To: HMC - Main Hospital - 2 - South PACU > HMC - Main Hospital - 2 - South PACU,1
EARLYSTOWN RD,1
Hershey - Dispatched To: HMC - UPC-2 - 3 - Surgery Specialties > HMC - UPC-2 - 3 - Surgery Specialties,1
CLASSROOM BUILDING PARKING LOT - SCHUYLKILL,1
HOSLER BLDG,1
