id,incident_number,campus_id,final_campus,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket
28,26SHtemp0001,20,Shenango,02/16/2026 09:45 AM,02/16/2026 09:45 AM,02/17/2026 01:00 PM,Employee requested assistance with an adminstrative matter,Sharon Hall,2026-02-18 21:43:32,2026-02-16,2026,2,February,9,Monday,False,Morning
1486,26SH00001,20,Shenango,02/16/2026 09:45 AM,02/16/2026 09:45 AM,,Employee requested assistance with an administrative matter,SHARON HALL,2026-02-21 20:58:08,2026-02-16,2026,2,February,9,Monday,False,Morning
1526,26SH00002,20,Shenango,02/23/2026 09:24 AM,02/23/2026 09:15 AM,,Employee requested assistance with an administrative matter,BLACK AND BASHORE BUILDING SIDEWALK AREA,2026-02-25 02:54:48,2026-02-23,2026,2,February,9,Monday,False,Morning
