location,count
Hershey - Dispatched To: HMC - Children's Hospital - 7 > HMC - Children's Hospital - 7,1
HASTINGS RD & UNIVERSITY DR,1
W COLLEGE AVE & N BURROWES RD,1
BEAVER STADIUM,1
THOMPSON HALL,1
ROBINSON HALL,1
CHEMICAL AND BIOMEDICAL ENGINEERING BLDG,1
ATHERTON HALL,1
EARLE HALL,1
SPROUL HALL,1
MARTIN HALL,1
PARK AVE & STADIUM WEST RD,1
E CALDER WAY & HETZEL ST,1
Hershey - Dispatched To: HMC Off-Site - PSMG - Elizabethtown - PSMG > HMC Off-Site - PSMG - Elizabethtown - PSMG,1
SPARKS BLDG,1
RIDER BLDG,1
BRILL HALL,1
STUDENT HEALTH CENTER,1
Hershey - Dispatched To: HMC - Main Hospital - 3 > HMC - Main Hospital - 3,1
PHYSICAL PLANT BLDG,1
NITTANY APT,1
UNKNOWN ON CAMPUS PROPERTY,1
HOLUBA HALL,1
Hershey - Reported Location: HMC - Emergency Department - 1 - Emergency Department,1
MCKEAN RD & BIGLER RD,1
PATTERSON HALL,1
Hershey - Dispatched To: HMC - UPC-2 - 2 - Medicine Suite > HMC - UPC-2 - 2 - Medicine Suite,1
Hershey - Dispatched To: COM - Basic Science - 7 > COM - Basic Science - 7,1
HIESTER HALL,1
MINUTEMAN LN,1
SHORTLIDGE RD & EISENHOWER RD,1
Hershey - Dispatched To: HMC - Children's Hospital - 7 - Labor and Delivery  > HMC - Children's Hospital - 7 - Labor and Delivery,1
"Hershey - Reported Location: HMC Off-Site - PSCMG - Mechanicsburg - 335 Lambs Gap Rd, Mechanicsburg PA 17050 - PSCMG",1
Hershey - Reported Location: HMC - Parking Lot - Lot M2,1
Hershey - Dispatched To: HMC - Main Hospital - 1 > HMC - Main Hospital - 1,1
ROBERTS AVE & WELDON AVE,1
Hershey - Dispatched To: HMC - Main Hospital - 1 - HVICCU > HMC - Main Hospital - 1 - HVICCU,1
Hershey - Dispatched To: HMC - Emergency Department - 1 - ED Obs Unit > HMC - Emergency Department - 1 - ED Obs Unit,1
Hershey - Dispatched To: HMC and COM - Central Plant > HMC and COM - Central Plant,1
Hershey - Dispatched To: HMC - Children's Hospital - 4 > HMC - Children's Hospital - 4,1
Hershey - Dispatched To: HMC - Main Hospital - 2 > HMC - Main Hospital - 2,1
"Hershey - Dispatched To: HMC Off-Site - PSMG - Camp Hill, Specialties - PSMG > HMC Off-Site - PSMG - Camp Hill, Specialties - PSMG",1
Hershey - Reported Location: HMC - Children's Hospital - 7 - Women's Health Post/Antepartum,1
Hershey - Dispatched To: HMC - Parking Lot - Lot J > HMC - Parking Lot - Lot J,1
Hershey - Dispatched To: HMC - Emergency Department - 1 - Emergency Department > HMC - Emergency Department - 1 - Emergency Department,1
Hershey - Dispatched To: HMC - Parking Lot - Lot G > HMC - Parking Lot - Lot G,1
Hershey - Dispatched To: HMC - Parking Lot - Lot H > HMC - Parking Lot - Lot H,1
Hershey - Dispatched To: HMC - Main Hospital - 2 - South PACU > HMC - Main Hospital - 2 - South PACU,1
Hershey - Dispatched To: HMC - UPC-2 - 3 - Surgery Specialties > HMC - UPC-2 - 3 - Surgery Specialties,1
Hershey - Reported Location: HMC - Parking Lot - Lot M1,1
"Hershey - Reported Location: HMC Off-Site - PSMG - Lime Spring Adult Specialties, Noll Drive Lancaster - PSMG",1
Hershey -,1
Hershey - Dispatched To: HMC - Main Hospital - 4 - Ortho > HMC - Main Hospital - 4 - Ortho,1
Hershey - Reported Location: HMC - Main Hospital - 6,1
Hershey - Dispatched To: HMC Off-Site - PSMG - Mount Joy - PSMG > HMC Off-Site - PSMG - Mount Joy - PSMG,1
Hershey - Dispatched To: HMC - 30 Hope Drive - 1 - Radiology East > HMC - 30 Hope Drive - 1 - Radiology East,1
Hershey - Dispatched To: HMC - Main Hospital - G - Radiology > HMC - Main Hospital - G - Radiology,1
Hershey - Dispatched To: HMC - Children's Hospital - 8 - NICU - Neonatal Intensive Care Unit East (NICU) > HMC - Children's Hospital - 8 - NICU - Neonatal Intensive Care Unit East (NICU),1
