id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,campus
1453,2026-00002174,1,02/18/2026 07:20 PM,02/16/2026 10:30 PM,02/17/2026 12:00 AM,Student reported a person trespassing inside a residence hall,PINCHOT HALL,2026-02-21 20:58:08,other
1459,26BR00011,6,02/18/2026 01:30 PM,02/16/2026 12:00 AM,02/16/2026 11:59 PM,Employee reported unsafe conditions,LOT A - BEAVER,2026-02-21 20:58:08,other
1462,2026-00002160,1,02/18/2026 11:46 AM,02/18/2026 11:46 AM,,Visitor reported suspicious activity,UNIVERSITY SUPPORT BLDG I,2026-02-21 20:58:08,other
1463,2026-00002159,1,02/18/2026 11:02 AM,02/17/2026 03:28 PM,02/17/2026 08:47 PM,Student reported the theft of unsecured personal property,BUS SHELTER MCCOY NATATORIUM,2026-02-21 20:58:08,other
1465,2026-00002158,1,02/18/2026 10:01 AM,02/18/2026 09:46 AM,02/18/2026 10:45 AM,Employee requested assistance with a personal matter,G THOMAS WATER TUNNEL,2026-02-21 20:58:08,other
1474,26BR00010,6,02/17/2026 02:00 PM,02/17/2026 01:58 PM,,Student reported a two vehicle crash with no injuries,HARMONY HALL LOT - BEAVER,2026-02-21 20:58:08,other
1477,26WS00007,22,02/17/2026 11:55 AM,02/17/2026 11:49 AM,02/17/2026 11:50 AM,Student reported damage to their privately owned vehicle,BB02 LOT - SCRANTON,2026-02-21 20:58:08,other
1478,26BR00009,6,02/17/2026 11:06 AM,02/17/2026 11:06 AM,,Employee reported a concern for another person,UNIVERSITY DR,2026-02-21 20:58:08,other
1486,26SH00001,20,02/16/2026 09:45 AM,02/16/2026 09:45 AM,,Employee requested assistance with an administrative matter,SHARON HALL,2026-02-21 20:58:08,other
1498,26MA00003,17,02/14/2026 06:01 AM,02/14/2026 05:26 AM,02/14/2026 05:29 AM,Student reported the theft of their unattended personal property,MONT ALTO HALL,2026-02-21 20:58:08,other
1501,26WS00006,22,02/13/2026 10:20 AM,02/13/2026 10:20 AM,02/13/2026 11:30 AM,Employee requested assistance in locating another employee,CAMAC AVE,2026-02-21 20:58:08,other
1508,26BR00008,6,02/12/2026 02:49 AM,02/12/2026 02:49 AM,02/12/2026 03:00 AM,Student reported a concern for another student,HARMONY HALL,2026-02-21 20:58:08,other
1510,26MA00002,17,02/11/2026 12:05 PM,02/09/2026 07:40 PM,02/10/2026 12:35 AM,Employee requested assistance with an administrative matter,MULTI-PURPOSE ACTIVITIES CENTER,2026-02-21 20:58:08,other
1512,2026-00002453,1,02/24/2026 03:20 AM,12/25/2025 12:00 AM,02/24/2026 03:20 AM,Student reported being harassed,SOUTH HALLS RESIDENCE COMPLEX,2026-02-25 02:54:48,other
1514,2026-00002439,1,02/23/2026 10:53 PM,02/23/2026 10:53 PM,02/23/2026 11:00 PM,Employee reported a suspicious odor,STONE HALL,2026-02-25 02:54:48,other
1515,2026-00002438,1,02/23/2026 10:10 PM,02/22/2026 06:58 PM,,Student reported being harassed,BRUMBAUGH HALL,2026-02-25 02:54:48,other
1516,2026-00002432,1,02/23/2026 08:53 PM,02/23/2026 08:53 PM,02/23/2026 09:15 PM,Employee reported a suspcious vehicle,EAST PARKING DECK,2026-02-25 02:54:48,other
1520,2026-00002417,1,02/23/2026 02:18 PM,02/23/2026 02:00 PM,02/23/2026 02:15 PM,Employee reported a two vehicle crash with no injuries,EAST PARKING DECK,2026-02-25 02:54:48,other
1522,2026-00002416,1,02/23/2026 12:21 PM,02/23/2026 12:21 PM,02/23/2026 01:10 PM,Visitor requested assistance in locating a student,MCELWAIN HALL,2026-02-25 02:54:48,other
1525,2026-00002410,1,02/23/2026 09:43 AM,02/23/2026 07:03 AM,02/23/2026 07:04 AM,Employee reported a one vehicle crash with no injuries,HUB PARKING DECK,2026-02-25 02:54:48,other
1526,26SH00002,20,02/23/2026 09:24 AM,02/23/2026 09:15 AM,,Employee requested assistance with an administrative matter,BLACK AND BASHORE BUILDING SIDEWALK AREA,2026-02-25 02:54:48,other
1527,2026-00002409,1,02/23/2026 09:11 AM,02/23/2026 06:00 AM,02/23/2026 09:00 AM,Assisted the ambulance with a medical emergency,HAFFNER HALL,2026-02-25 02:54:48,other
1528,2026-00002407,1,02/23/2026 08:43 AM,02/21/2026 12:00 AM,02/21/2026 04:00 PM,Employee reported suspcious activity,EAST PARKING DECK,2026-02-25 02:54:48,other
1530,2026-00002397,1,02/23/2026 12:05 AM,02/22/2026 11:49 PM,02/23/2026 12:05 AM,Employee reported a hit and run crash,HUB PARKING DECK,2026-02-25 02:54:48,other
1537,2026-00002379,1,02/22/2026 06:34 PM,02/22/2026 06:34 PM,02/22/2026 07:50 PM,Assisted the fire department with a reported smoke condition,BEAM HALL,2026-02-25 02:54:48,other
1545,2026-00002365,1,02/22/2026 01:03 PM,01/22/2026 12:00 AM,02/22/2026 01:03 PM,Student reported being harassed,DEIKE BLDG,2026-02-25 02:54:48,other
1547,2026-00002358,1,02/22/2026 07:01 AM,02/22/2026 06:55 AM,02/22/2026 07:01 AM,Employee reported a one vehicle crash with no injuries,NITTANY PARKING,2026-02-25 02:54:48,other
1552,2026-00002352,1,02/22/2026 02:19 AM,02/22/2026 02:00 AM,02/22/2026 02:19 AM,Student reported a hit and run crash,MCKEAN RD,2026-02-25 02:54:48,other
1553,2026-00002349,1,02/22/2026 01:05 AM,02/22/2026 01:02 AM,02/22/2026 01:49 AM,Assisted ambulance with a medical emergency,MCKEE HALL,2026-02-25 02:54:48,other
1554,2026-00002350,1,02/22/2026 12:56 AM,02/22/2026 12:56 AM,02/22/2026 01:15 AM,Underage student observed highly intoxicated and transported to the hospital,STUART HALL,2026-02-25 02:54:48,other
1559,26BR00013,6,02/21/2026 10:21 PM,02/21/2026 10:21 PM,02/21/2026 10:54 PM,Assisted the ambulance with a medical emergency,HARMONY HALL,2026-02-25 02:54:48,other
1564,2026-00002332,1,02/21/2026 08:00 PM,02/21/2026 08:00 PM,,Conducted a background investigation for a ride-along,UNIVERSITY SUPPORT BLDG I,2026-02-25 02:54:48,other
1571,26BR00012,6,02/21/2026 02:06 PM,02/21/2026 02:06 PM,02/21/2026 02:11 PM,Employee reported suspicious activity,UNIVERSITY DR,2026-02-25 02:54:48,other
1573,2026-00002307,1,02/21/2026 10:12 AM,02/21/2026 10:00 AM,02/21/2026 10:15 AM,Employee reported loud music,IKENBERRY HALL,2026-02-25 02:54:48,other
1577,2026-00002303,1,02/21/2026 04:03 AM,02/20/2026 11:45 PM,02/21/2026 03:45 AM,Student reported accidental damage to personal property,STADIUM WEST (SMALL LOT) LOT,2026-02-25 02:54:48,other
1578,2026-00002301,1,02/21/2026 02:12 AM,02/21/2026 02:12 AM,02/21/2026 02:31 AM,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,N ATHERTON ST & CURTIN RD,2026-02-25 02:54:48,other
1581,2026-00002299,1,02/21/2026 01:10 AM,02/21/2026 01:05 AM,02/21/2026 01:18 AM,"Resident Assistant reported the odor of marijuana, origin not located",PENNYPACKER HALL,2026-02-25 02:54:48,other
1582,2026-00002294,1,02/21/2026 12:22 AM,02/21/2026 12:15 AM,02/21/2026 12:22 AM,Student reported accidental damage to University property,GEARY HALL,2026-02-25 02:54:48,other
1584,2026-00002289,1,02/20/2026 11:24 PM,02/20/2026 11:24 PM,02/20/2026 11:32 PM,Assisted an outside law enforcement agency with an investigation,DEANS WAY,2026-02-25 02:54:48,other
1586,2026-00002271,1,02/20/2026 08:32 PM,02/20/2026 08:32 PM,,Received this department's copy of a Protection From Abuse (PFA) order,UNIVERSITY SUPPORT BLDG I,2026-02-25 02:54:48,other
1587,2026-00002267,1,02/20/2026 07:04 PM,02/15/2026 03:00 PM,02/20/2026 07:00 PM,Student reported the theft of their unsecured personal property,SHUNK HALL,2026-02-25 02:54:48,other
1590,2026-00002260,1,02/20/2026 05:48 PM,02/20/2026 05:45 PM,02/20/2026 05:48 PM,Employee reported a one vehicle crash with no injuries,NITTANY PARKING,2026-02-25 02:54:48,other
1593,2026-00002257,1,02/20/2026 03:22 PM,02/20/2026 03:22 PM,02/20/2026 06:38 PM,Officer conducted a security inspection,BRYCE JORDAN CENTER,2026-02-25 02:54:48,other
1594,2026-00002256,1,02/20/2026 02:09 PM,01/17/2026 08:36 PM,02/16/2026 01:00 AM,Student reported the theft of their unsecured personal property,CURTIN HALL,2026-02-25 02:54:48,other
1597,2026-00002245,1,02/20/2026 10:50 AM,02/19/2026 07:45 PM,,Visitor reported a hit and run crash,EAST PARKING DECK,2026-02-25 02:54:48,other
1635,26BR00016,6,02/25/2026 06:50 PM,02/25/2026 06:50 PM,02/25/2026 07:15 PM,Employee reported a fire alarm activation,HARMONY HALL,2026-02-26 23:59:30,other
1655,26BR00015,6,02/25/2026 01:45 AM,02/25/2026 01:45 AM,02/25/2026 01:59 AM,Student reported a University policy violation,HARMONY HALL,2026-02-26 23:59:30,other
1681,26BR00014,6,02/24/2026 02:46 PM,02/21/2026 03:00 AM,02/24/2026 02:46 PM,Student reported the theft of their unattended personal property,HARMONY HALL,2026-02-26 23:59:30,other
