id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,final_campus
211,26YK00006,23,02/09/2026 05:12 PM,09/14/2025 12:00 AM,,Employee reported a student was indecently assaulted by a known person at a University sponsored location,HESHEYPARK DR,2026-02-18 21:43:32,York
617,26YK00004,23,01/28/2026 12:00 PM,01/22/2026 12:01 AM,01/23/2026 12:01 AM,Student requested assistance with a personal matter,E BOUNDARY AVE,2026-02-18 21:43:32,York
752,26YK00003,23,01/23/2026 06:23 PM,01/23/2026 06:00 PM,01/23/2026 06:23 PM,Visitor reported a concern for other persons,EDGECOMB AVE,2026-02-18 21:43:32,York
764,26YK00002,23,01/23/2026 11:09 AM,01/23/2026 10:03 AM,01/23/2026 10:05 AM,Student reported a two vehicle crash with no injuries,UPPER PULLO CENTER PARKING LOT - YORK,2026-02-18 21:43:32,York
1074,26YK00001,23,01/13/2026 08:20 AM,01/10/2026 09:00 AM,01/10/2026 09:30 AM,Employee requested assistance with an administrative matter,RUHL STUDENT/COMMUNITY CENTER,2026-02-18 21:43:32,York
